pubmed_id,y_true,y_pred,correct
21645374,yes,yes,1
9488747,yes,yes,1
17208539,no,yes,0
23831910,yes,yes,1
26037986,maybe,yes,0
26852225,no,yes,0
25432938,yes,yes,1
18847643,no,yes,0
18239988,yes,yes,1
25957366,no,no,1
11729377,yes,yes,1
17096624,yes,yes,1
23806388,yes,yes,1
10966943,no,maybe,0
7482275,no,maybe,0
20084845,yes,yes,1
15703931,no,no,1
18269157,yes,yes,1
25489696,yes,yes,1
22537902,no,maybe,0
16432652,yes,yes,1
19504993,yes,yes,1
20571467,yes,yes,1
24237112,yes,yes,1
20082356,maybe,maybe,1
11340218,no,no,1
25481573,yes,yes,1
25277731,maybe,yes,0
25475395,yes,yes,1
17179167,maybe,maybe,1
27491658,yes,maybe,0
19822586,yes,yes,1
23539689,yes,yes,1
22453060,yes,yes,1
12380309,no,no,1
22186742,no,no,1
18235194,maybe,maybe,1
15597845,yes,yes,1
17489316,maybe,yes,0
14518645,yes,yes,1
20337202,maybe,maybe,1
26449554,yes,no,0
29112560,yes,maybe,0
9381529,yes,yes,1
8985020,yes,yes,1
22427593,maybe,yes,0
19757704,yes,yes,1
27592038,yes,yes,1
27044366,maybe,no,0
17562682,maybe,no,0
14978612,yes,yes,1
18843057,no,maybe,0
9199905,yes,yes,1
23999452,yes,yes,1
22534881,no,no,1
24785562,yes,yes,1
22564465,yes,maybe,0
14697414,yes,yes,1
18565233,yes,yes,1
27184293,maybe,yes,0
25480629,maybe,yes,0
17453263,yes,yes,1
19106867,yes,yes,1
19409117,yes,yes,1
21900017,yes,yes,1
27448572,yes,no,0
17621202,maybe,maybe,1
25987398,maybe,yes,0
25588461,yes,yes,1
22706226,maybe,yes,0
12913878,yes,yes,1
16769333,yes,yes,1
22497340,yes,yes,1
10223070,maybe,yes,0
8566975,no,no,1
25186850,yes,yes,1
9427037,yes,yes,1
11411430,maybe,yes,0
15687156,no,yes,0
21123461,yes,yes,1
27858166,yes,yes,1
17279467,maybe,yes,0
22758782,no,no,1
15223725,yes,yes,1
21946341,no,no,1
19302863,yes,yes,1
24245816,yes,yes,1
19913785,no,no,1
1571683,maybe,yes,0
15631914,no,no,1
20121683,yes,yes,1
27281318,yes,yes,1
12846929,yes,no,0
26505821,maybe,yes,0
22023714,no,no,1
16046584,yes,yes,1
28143468,yes,yes,1
22720085,yes,yes,1
15588538,no,no,1
22211919,maybe,yes,0
9542484,no,maybe,0
15489384,yes,yes,1
17444776,yes,yes,1
20549895,no,no,1
2224269,yes,maybe,0
10548670,yes,yes,1
20871246,maybe,yes,0
15280782,no,no,1
26370095,yes,yes,1
10354335,yes,yes,1
26452334,yes,maybe,0
15065192,yes,yes,1
25488308,no,yes,0
26222664,yes,yes,1
9767546,yes,yes,1
21214884,no,no,1
23321509,yes,yes,1
18179827,yes,no,0
14872327,yes,yes,1
20382292,yes,yes,1
22236315,no,maybe,0
25007420,maybe,yes,0
26556589,no,no,1
12612531,yes,no,0
26194560,yes,yes,1
11079675,yes,no,0
24946973,maybe,no,0
9854965,yes,yes,1
19131405,yes,yes,1
18667100,no,no,1
9191526,yes,yes,1
10605400,maybe,no,0
17601244,yes,yes,1
25986020,yes,yes,1
22900881,no,no,1
11413427,no,no,1
9602458,no,no,1
24434052,maybe,yes,0
21190419,no,no,1
24014276,yes,yes,1
26113007,no,no,1
11838307,no,no,1
19836806,no,no,1
18496363,no,no,1
22532370,yes,yes,1
22683044,yes,yes,1
24019262,yes,yes,1
18403944,maybe,maybe,1
20363841,no,no,1
23356465,yes,no,0
20187289,no,yes,0
20297950,yes,no,0
10759659,yes,yes,1
25592625,no,maybe,0
20064872,yes,yes,1
25859857,no,yes,0
26418796,yes,yes,1
22825590,yes,yes,1
9550200,yes,yes,1
11296674,maybe,yes,0
27078715,yes,yes,1
15939071,yes,yes,1
25614468,no,yes,0
16296668,no,no,1
24336869,maybe,yes,0
17704864,yes,yes,1
23587089,yes,yes,1
15539888,yes,no,0
19542542,maybe,no,0
16872243,no,yes,0
10381996,no,no,1
26134053,maybe,no,0
25274085,no,yes,0
12098035,yes,yes,1
21865668,yes,yes,1
16510651,no,no,1
19468282,maybe,no,0
21398266,yes,maybe,0
22440363,no,yes,0
12068831,no,maybe,0
21618245,yes,yes,1
18158048,yes,maybe,0
21256734,no,no,1
28027677,no,no,1
27554179,no,no,1
19268855,no,yes,0
12238307,no,no,1
20684175,yes,yes,1
27216167,yes,yes,1
19852337,yes,yes,1
22680064,yes,yes,1
15125825,yes,no,0
24652474,no,yes,0
25779009,maybe,yes,0
17105833,maybe,yes,0
27338535,no,no,1
27690714,yes,yes,1
24964725,yes,yes,1
11759976,no,yes,0
16319544,no,no,1
25336163,no,yes,0
7497757,no,maybe,0
8262881,yes,no,0
11882828,yes,yes,1
24939676,no,no,1
17076590,maybe,yes,0
21745056,yes,yes,1
22955530,yes,yes,1
18507507,yes,yes,1
17323047,no,no,1
24851767,no,no,1
12006913,no,no,1
8245806,yes,yes,1
15222284,yes,yes,1
19130332,yes,yes,1
23949294,yes,yes,1
17610439,yes,yes,1
25446909,yes,yes,1
10158597,yes,yes,1
21198823,no,no,1
24142776,yes,maybe,0
27896825,yes,yes,1
22117569,yes,yes,1
14631523,no,no,1
26717802,no,maybe,0
24446763,no,no,1
9444542,no,no,1
23389866,no,no,1
19142546,no,no,1
9107172,yes,yes,1
9363244,yes,no,0
20353735,no,no,1
24630333,no,no,1
27096199,no,yes,0
22519710,no,maybe,0
23601294,no,no,1
23337545,yes,yes,1
23375036,yes,yes,1
16778275,no,no,1
27136599,yes,yes,1
11149643,yes,yes,1
26200172,yes,yes,1
25155638,yes,yes,1
26820719,yes,yes,1
15477551,yes,yes,1
19327500,yes,yes,1
11567820,no,maybe,0
19100463,yes,yes,1
10331115,yes,yes,1
17483607,yes,yes,1
28056802,yes,yes,1
11776681,yes,yes,1
10593212,no,no,1
12630042,maybe,yes,0
24519615,yes,yes,1
24267613,no,no,1
21074975,yes,yes,1
15388567,no,yes,0
16909975,yes,yes,1
18799291,no,maybe,0
12163782,yes,yes,1
19615731,no,no,1
18537964,yes,yes,1
25747932,yes,maybe,0
19309468,yes,yes,1
26348845,yes,yes,1
22644412,yes,yes,1
26104852,yes,yes,1
18575014,yes,yes,1
12377809,yes,yes,1
16195477,yes,yes,1
18801797,no,no,1
12632437,yes,yes,1
10201555,yes,yes,1
11481172,yes,maybe,0
19230985,yes,yes,1
17274051,no,no,1
26460153,yes,yes,1
26867834,yes,yes,1
22349635,no,no,1
26518378,yes,no,0
23774337,no,no,1
16151770,yes,yes,1
20828836,yes,yes,1
19608436,yes,yes,1
15995461,yes,yes,1
17910536,yes,yes,1
15841770,yes,maybe,0
24172579,yes,no,0
26561905,yes,yes,1
17089900,yes,yes,1
22266735,yes,yes,1
15052394,no,no,1
18096128,no,no,1
24793469,yes,yes,1
23360491,maybe,maybe,1
22954812,maybe,yes,0
26237424,no,no,1
15041506,yes,yes,1
25280365,yes,yes,1
24352924,yes,yes,1
20497146,yes,yes,1
20538207,no,yes,0
10927144,no,no,1
20197761,maybe,no,0
21394762,yes,yes,1
12442934,yes,yes,1
23072266,yes,yes,1
17224424,yes,yes,1
20594006,no,no,1
17192736,no,no,1
14652839,no,no,1
25571931,maybe,no,0
25443385,yes,yes,1
9044116,no,no,1
21084567,yes,maybe,0
14655021,no,no,1
26175531,no,no,1
11833948,yes,maybe,0
24449622,no,maybe,0
23761381,no,no,1
16971978,yes,yes,1
10375486,no,no,1
15528969,yes,yes,1
17062225,yes,no,0
15369037,yes,yes,1
24073931,no,maybe,0
21164063,no,maybe,0
21951591,yes,yes,1
18619710,no,no,1
18784527,no,yes,0
23495128,yes,yes,1
26701174,yes,yes,1
15488260,yes,yes,1
18603989,yes,yes,1
14692023,yes,yes,1
19198736,no,no,1
22411435,yes,yes,1
17462393,no,maybe,0
21457946,yes,yes,1
26383908,yes,yes,1
19481382,no,yes,0
17682349,yes,yes,1
19648304,yes,yes,1
23222920,yes,yes,1
26601554,yes,yes,1
19322056,yes,yes,1
22522271,no,no,1
24235894,no,yes,0
17429333,no,no,1
24298614,yes,yes,1
21849531,no,maybe,0
19854401,no,no,1
22237146,yes,yes,1
25793749,maybe,yes,0
18284441,maybe,yes,0
10173769,yes,no,0
20354380,yes,yes,1
9616411,yes,yes,1
16241924,no,yes,0
12484580,yes,yes,1
24599411,yes,yes,1
23860049,maybe,maybe,1
7664228,no,no,1
20736672,maybe,yes,0
10973547,no,no,1
26133538,no,yes,0
24698298,no,no,1
23088164,no,no,1
17032327,no,no,1
8916748,yes,yes,1
16361634,maybe,no,0
25756710,yes,yes,1
23916653,yes,yes,1
12790890,maybe,maybe,1
20605051,yes,yes,1
23048048,yes,maybe,0
12090319,no,maybe,0
24614851,yes,yes,1
21194998,no,no,1
24625433,no,no,1
25304452,yes,yes,1
21431987,no,no,1
25752725,yes,yes,1
12855939,no,no,1
24476003,no,yes,0
24606627,yes,yes,1
10922093,yes,no,0
20602101,no,no,1
20629769,yes,yes,1
23149821,maybe,yes,0
18800356,maybe,no,0
22301406,yes,maybe,0
26079501,no,no,1
15774570,no,no,1
26209118,no,no,1
25070942,no,no,1
19683101,no,yes,0
10783841,yes,yes,1
11862129,no,no,1
23455575,no,yes,0
21848798,yes,maybe,0
25103647,maybe,yes,0
19406119,yes,yes,1
24359102,yes,yes,1
18802997,maybe,yes,0
26304701,yes,yes,1
26516021,yes,yes,1
23736032,yes,no,0
17312514,yes,yes,1
23453079,yes,no,0
15053041,no,no,1
9465206,yes,yes,1
19593710,yes,yes,1
24751724,yes,yes,1
21368683,yes,yes,1
27832831,no,no,1
16713745,yes,yes,1
8738894,no,maybe,0
22540518,yes,yes,1
25034219,no,maybe,0
27908583,yes,maybe,0
23422012,no,no,1
11500608,no,maybe,0
25604390,yes,yes,1
18570208,yes,yes,1
20156655,yes,yes,1
16249670,no,maybe,0
24495711,yes,maybe,0
20101129,maybe,yes,0
24577079,no,no,1
17715311,yes,yes,1
19430778,yes,yes,1
10732884,no,no,1
23568387,no,yes,0
25675614,yes,yes,1
26864326,yes,yes,1
20850631,yes,yes,1
25503376,yes,yes,1
12172698,yes,yes,1
17606778,yes,yes,1
16735905,maybe,yes,0
18670651,yes,yes,1
23240452,no,no,1
21420186,yes,yes,1
21979183,no,no,1
12607120,no,no,1
28247485,yes,yes,1
11334578,no,maybe,0
26471488,no,yes,0
16647887,no,no,1
23347337,yes,yes,1
22970993,yes,yes,1
16498158,yes,no,0
15000338,no,no,1
10401824,yes,yes,1
21880023,no,no,1
15050326,yes,yes,1
16968183,yes,yes,1
23359100,yes,yes,1
15943725,yes,yes,1
22303473,no,no,1
24270957,yes,yes,1
23848044,yes,yes,1
9920954,yes,maybe,0
24450673,no,no,1
25669733,yes,yes,1
20577124,yes,yes,1
21592383,no,yes,0
9745063,yes,yes,1
11138995,no,no,1
12121321,yes,yes,1
28011794,maybe,yes,0
24098953,yes,yes,1
28407529,no,yes,0
22011946,no,no,1
20842006,no,no,1
17329379,yes,maybe,0
27288618,no,no,1
21873082,yes,yes,1
21845457,yes,yes,1
22521460,no,no,1
19578820,maybe,no,0
21228436,yes,yes,1
11977907,yes,yes,1
12626177,maybe,yes,0
15483019,yes,maybe,0
18693227,yes,maybe,0
24783217,yes,yes,1
17916877,yes,no,0
11955750,no,no,1
17244100,yes,yes,1
15708048,yes,yes,1
22513023,no,no,1
23677366,no,no,1
19237087,no,no,1
8921484,no,no,1
16564683,no,maybe,0
23147106,no,maybe,0
17559449,no,no,1
